datum,RD,byty
2006-01-01,103.1,104.4
2006-04-01,104.1,106.5
2006-07-01,105.6,108.2
2006-10-01,107,114.1
2007-01-01,110.3,125.3
2007-04-01,112.9,132.7
2007-07-01,113,135.3
2007-10-01,112.7,131.3
2008-01-01,111.5,122.9
2008-04-01,111.3,119.5
2008-07-01,111.3,116.7
2008-10-01,109.4,110.2
2009-01-01,104.6,98.7
2009-04-01,99.3,86
2009-07-01,96.4,83
2009-10-01,95.4,84.2
2010-01-01,96.6,89
2010-04-01,98.6,96.3
2010-07-01,99.3,97.6
2010-10-01,100.1,98.4
2011-01-01,101.8,98.9
2011-04-01,102.4,99.7
2011-07-01,102.3,100.1
2011-10-01,101.9,100.2
2012-01-01,100.2,99.4
2012-04-01,99.4,98.6
2012-07-01,99.6,98.6
2012-10-01,99.9,98.7
2013-01-01,100.4,98.4
2013-04-01,100.6,99.6
2013-07-01,101.5,100.5
2013-10-01,102.3,100.8
2014-01-01,102.2,102.2
2014-04-01,101.9,102.3
2014-07-01,101.5,101.7
2014-10-01,101.1,102.1
2015-01-01,101.5,101.9
2015-04-01,100.7,102.3
2015-07-01,101.2,103.9
2015-10-01,101.6,104.3
2016-01-01,100.5,106.4
2016-04-01,102,110.2
2016-07-01,102.7,112
2016-10-01,104.2,115.4
2017-01-01,105.3,114.9
2017-04-01,105.6,112.9
2017-07-01,105.2,112.6
2017-10-01,104.5,111.3
2018-01-01,104.6,112.6
2018-04-01,104.1,112.7
2018-07-01,104.5,111.2
2018-10-01,103.7,109.1
2019-01-01,103.7,107.3
2019-04-01,106.9,106.4
2019-07-01,108.2,106.7
2019-10-01,109.2,107.3
